"taxon","lfc_(Intercept)","lfc_treatment_groupApcMUT_HpWT","se_(Intercept)","se_treatment_groupApcMUT_HpWT","W_(Intercept)","W_treatment_groupApcMUT_HpWT","p_(Intercept)","p_treatment_groupApcMUT_HpWT","q_(Intercept)","q_treatment_groupApcMUT_HpWT","diff_(Intercept)","diff_treatment_groupApcMUT_HpWT","passed_ss_(Intercept)","passed_ss_treatment_groupApcMUT_HpWT","diff_robust_(Intercept)","diff_robust_treatment_groupApcMUT_HpWT","Root","Domain","Phylum","Class","Order","Family","Genus","Species","prevalence"
"OTU_59",0.160688454688579,-0.0610767119086324,0.247630767673397,0.372167254547606,0.64890343069369,-0.164110923683695,0.540427727910895,0.875032639496014,0.795052330484297,0.9889104696176,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Hominiventricola",NA,0.964285714285714
"OTU_327",-0.683296350584518,1.07340012333664,0.187948005448075,0.485081842076837,-3.63556053151782,2.21282272439012,0.0108925074779063,0.068875079672778,0.0666621457647867,0.376353113926251,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Kineothrix","Kineothrix sp910588855",0.75
"OTU_379",0.213547840771735,-0.516241185213681,0.136914881862363,0.333740599804718,1.55971241304805,-1.54683363521175,0.216729774698302,0.219638142572298,0.483300656627793,0.648790061016034,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Laedolimicola","Laedolimicola sp910576325",0.5
"OTU_66",-0.0185246842417083,0.0097654571881491,0.0633497532670635,0.377341523715297,-0.292419201123227,0.0258796251522987,0.779814564719141,0.980192618103539,0.922446125498385,0.989338961978145,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Laedolimicola",NA,0.928571428571429
"OTU_24",-0.032401494271363,0.15467365631609,0.0647288240986566,0.213013187226779,-0.500572885766906,0.726122444951829,0.632023851777564,0.491323270103584,0.85861029123944,0.802686848831871,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA,1
"OTU_388",-0.290035890989223,0.323065034387915,0.0790083985468972,0.288176973583185,-3.67095013091634,1.12106470677006,0.0349769176216881,0.343906435384718,0.14463428097617,0.757635747007871,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Paralachnospira_A","Paralachnospira_A sp948470335",0.535714285714286
"OTU_201",-0.0683922482693767,0.202236911945965,0.295384742675847,0.549895741404162,-0.231536157385183,0.367773191750044,0.82459249385686,0.725667352901148,0.925659429688493,0.935455772016815,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Petralouisia","Petralouisia sp910588845",0.892857142857143
"OTU_335",-0.174234620580607,0.0782352290080318,0.0953598297953976,0.295877497079252,-1.82712805753158,0.264417638314265,0.165141938051867,0.808583259891929,0.377115171969188,0.969752678933756,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","QZDW01","QZDW01 sp009917545",0.678571428571429
"OTU_202",-0.295320464486448,0.696432920829563,0.162923119345749,0.365612576805188,-1.81263693987918,1.90483852310324,0.14410484876989,0.129514164391342,0.36746736436322,0.495391678796884,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia_B","Roseburia_B sp003612565",0.642857142857143
"OTU_65",-0.147832378156862,0.362449247309988,0.422608758723469,0.540420282750016,-0.349809073061816,0.670680318409972,0.736770303388,0.52392823200161,0.917468923465565,0.840018941145806,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Schaedlerella",NA,0.928571428571429
"OTU_176",-0.0263681051376367,0.143813555875383,0.0797720428868002,0.365054811519374,-0.330543185098746,0.39395058313798,0.750662809474303,0.705342740973155,0.917468923465565,0.922371276657202,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Schaedlerella","Schaedlerella sp910573785",0.964285714285714
"OTU_58",0.0235886109775874,-0.0576158151627236,0.074359406159336,0.247111173771109,0.317224305517478,-0.23315746626695,0.761821845463256,0.823389742010701,0.91778537288093,0.969752678933756,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Sporofaciens",NA,0.964285714285714
"OTU_482",0.289392174878104,-0.42455494815295,0.0418377301488264,0.379920191484014,6.91701423209791,-1.11748456036145,0.000227822478818977,0.3006680742205,0.00541117064365746,0.729111500673728,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Suilimivivens",NA,0.714285714285714
"OTU_187",0.25051757379407,-0.333212366977556,0.246306439048255,0.391974131338411,1.01709713624251,-0.850087646957182,0.348352613532322,0.427889180672447,0.629481565145361,0.779369579081957,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Suilimivivens","Suilimivivens sp009911035",0.821428571428571
"OTU_189",-0.470504719915536,0.732933514266275,0.115843155292859,0.326819045912768,-4.0615668549952,2.24262791117107,0.00663873891040172,0.066107763763413,0.0483679549186411,0.374610661326007,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Suilimivivens","Suilimivivens sp011959285",0.964285714285714
"OTU_190",0.0533036332180707,-0.105159850747498,0.243142735407086,0.426497881006663,0.219227743443892,-0.246565939552358,0.833740156476606,0.813463256893573,0.925659429688493,0.969752678933756,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Suilimivivens","Suilimivivens sp910579425",0.892857142857143
"OTU_191",0.168410267120186,-0.202437752543887,0.128196555910709,0.311462188184644,1.31368792183065,-0.64995932162358,0.259231014733603,0.551158773066992,0.521872963871595,0.846620814545931,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Suilimivivens","Suilimivivens sp910579685",0.785714285714286
